indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-25,2214.509,2216.515,2150.095,2225.209,2157.909,9323755100,88306571728.0,-56.6,-0.025559
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-26,2157.909,2147.737,2137.079,2164.698,2163.405,7799329700,68640581126.0,5.496,0.002547
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-27,2163.405,2170.81,2150.135,2180.063,2154.108,9010429600,81587999653.0,-9.297,-0.004297
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-28,2154.108,2149.446,2133.548,2180.474,2178.971,7666805700,70216798972.0,24.863,0.011542
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-03,2178.971,2173.907,2167.91,2194.224,2190.37,8207231400,69408739897.0,11.399,0.005231
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-04,2190.37,2183.858,2161.589,2188.601,2184.273,7306925000,64691438035.0,-6.097,-0.002784
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-05,2184.273,2187.352,2159.595,2189.093,2163.976,6133201500,55669679402.0,-20.297,-0.009292
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-06,2163.976,2159.397,2136.454,2181.427,2173.634,6909376700,61495023657.0,9.658,0.004463
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-07,2173.634,2170.043,2161.436,2189.39,2168.358,6426517700,58693177974.0,-5.276,-0.002427
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-10,2168.358,2149.676,2095.067,2149.676,2097.787,7141640700,63086412572.0,-70.571,-0.032546
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-11,2097.787,2092.608,2088.729,2118.79,2108.661,5762124300,53075782462.0,10.874,0.005184
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-12,2108.661,2102.801,2090.757,2130.586,2114.134,7006974700,60115239174.0,5.473,0.002595
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-13,2114.134,2119.547,2115.986,2149.436,2140.333,6922602800,59163094375.0,26.199,0.012392
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-14,2140.333,2129.87,2109.575,2140.384,2122.836,5861773700,49805247510.0,-17.497,-0.008175
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-17,2122.836,2132.793,2118.953,2143.196,2143.038,5240944500,47571288733.0,20.202,0.009517
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-18,2143.038,2146.124,2134.923,2152.462,2138.133,5535413200,54188441365.0,-4.905,-0.002289
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-19,2138.133,2131.283,2101.285,2131.283,2120.87,5930390500,55283943974.0,-17.263,-0.008074
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-20,2120.87,2116.185,2086.497,2134.792,2086.967,6763128500,58951601970.0,-33.903,-0.015985
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-21,2086.967,2079.871,2077.759,2163.225,2158.798,10402480700,83560511769.0,71.831,0.034419
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-03-24,2158.798,2161.898,2150.871,2186.731,2176.554,10449198400,81203913733.0,17.756,0.008225
