date,open,high,low,close,volume,turnover,open_adj,high_adj,low_adj,close_adj,volume_adj
2015-03-11,3524.575,3568.916,3512.218,3524.653,18894782500,235772755479.0,3524.575,3568.916,3512.218,3524.653,18894782500
2015-03-12,3557.686,3603.341,3536.534,3592.844,26566462500,322141249344.0,3557.686,3603.341,3536.534,3592.844,26566462500
2015-03-13,3604.671,3641.392,3594.742,3617.657,24686476800,297298516465.0,3604.671,3641.392,3594.742,3617.657,24686476800
2015-03-16,3641.773,3705.739,3621.119,3705.671,27543830700,358497570207.0,3641.773,3705.739,3621.119,3705.671,27543830700
2015-03-17,3733.961,3762.575,3716.809,3757.122,37162566600,455003825887.0,3733.961,3762.575,3716.809,3757.122,37162566600
2015-03-18,3769.086,3846.055,3763.848,3846.055,41519001100,484465529242.0,3769.086,3846.055,3763.848,3846.055,41519001100
2015-03-19,3851.249,3859.126,3809.706,3839.739,39154763000,463212821639.0,3851.249,3859.126,3809.706,3839.739,39154763000
2015-03-20,3852.492,3916.863,3832.416,3892.574,40181755200,544468374302.0,3852.492,3916.863,3832.416,3892.574,40181755200
2015-03-23,3923.083,3972.296,3922.21,3972.061,39111992200,519760220709.0,3923.083,3972.296,3922.21,3972.061,39111992200
2015-03-24,3980.066,3989.858,3883.782,3973.046,46858131200,591066800604.0,3980.066,3989.858,3883.782,3973.046,46858131200
2015-03-25,3961.578,3980.716,3913.988,3940.412,37996885100,501733891680.0,3961.578,3980.716,3913.988,3940.412,37996885100
2015-03-26,3921.745,3991.997,3892.878,3949.999,34675631500,468538490771.0,3921.745,3991.997,3892.878,3949.999,34675631500
2015-03-27,3957.542,3993.032,3932.87,3971.697,29875606400,393132347578.0,3957.542,3993.032,3932.87,3971.697,29875606400
2015-03-30,3999.024,4101.651,3999.024,4088.178,42829702000,546211078887.0,3999.024,4101.651,3999.024,4088.178,42829702000
2015-03-31,4138.885,4166.018,4037.771,4051.204,43606563500,598121732643.0,4138.885,4166.018,4037.771,4051.204,43606563500
2015-04-01,4057.501,4139.499,4046.939,4123.895,32951285300,466596904663.0,4057.501,4139.499,4046.939,4123.895,32951285300
2015-04-02,4149.946,4156.8420000000015,4068.649,4124.776,33907048700,476617837707.0,4149.946,4156.8420000000015,4068.649,4124.776,33907048700
2015-04-03,4104.672000000001,4170.558,4092.383,4170.538,32130376600,466965600575.0,4104.672000000001,4170.558,4092.383,4170.538,32130376600
2015-04-07,4213.894,4260.471,4197.019,4260.044,41536265400,564646323685.0,4213.894,4260.471,4197.019,4260.044,41536265400
2015-04-08,4277.45,4304.78,4204.826,4295.803,45867671500,658308062760.0,4277.45,4304.78,4204.826,4295.803,45867671500
2015-04-09,4316.958,4332.166,4212.611,4262.138,43969990200,650419151486.0,4316.958,4332.166,4212.611,4262.138,43969990200
2015-04-10,4249.383,4351.687,4231.196,4344.416,34819017000,509354291196.0,4249.383,4351.687,4231.196,4344.416,34819017000
2015-04-13,4394.047000000001,4432.024,4361.589,4421.073,43415303600,598518139930.0,4394.047000000001,4432.024,4361.589,4421.073,43415303600
2015-04-14,4432.126,4474.353,4385.9079999999985,4438.184,43443212600,602127441917.0,4432.126,4474.353,4385.9079999999985,4438.184,43443212600
2015-04-15,4439.314,4475.997,4379.609,4380.513,47215413100,596822875636.0,4439.314,4475.997,4379.609,4380.513,47215413100
2015-04-16,4355.491,4513.765,4335.63,4513.5459999999985,42260374800,564722844124.0,4355.491,4513.765,4335.63,4513.5459999999985,42260374800
2015-04-17,4578.679,4630.27,4553.904,4596.136,55280266300,733953610122.0,4578.679,4630.27,4553.904,4596.136,55280266300
2015-04-20,4615.0340000000015,4671.168,4492.6,4521.919,68643907500,939264904128.0,4615.0340000000015,4671.168,4492.6,4521.919,68643907500
2015-04-21,4520.460999999998,4620.058,4504.558,4619.164000000002,49031499100,685365027867.0,4520.460999999998,4620.058,4504.558,4619.164000000002,49031499100
2015-04-22,4637.055,4740.933,4632.589,4739.814,51621379200,769924803864.0,4637.055,4740.933,4632.589,4739.814,51621379200
2015-04-23,4764.481,4782.044,4693.9670000000015,4740.892,49743095400,752258236225.0,4764.481,4782.044,4693.9670000000015,4740.892,49743095400
2015-04-24,4682.626,4730.43,4618.318,4702.641,48015293600,721273097490.0,4682.626,4730.43,4618.318,4702.641,48015293600
2015-04-27,4753.871,4810.485,4735.31,4807.5920000000015,51307654800,765910402328.0,4753.871,4810.485,4735.31,4807.5920000000015,51307654800
2015-04-28,4811.319,4839.078,4703.567,4741.861,60863854500,860349875255.0,4811.319,4839.078,4703.567,4741.861,60863854500
2015-04-29,4722.903,4797.927,4695.793,4774.326,39505698000,601676350605.0,4722.903,4797.927,4695.793,4774.326,39505698000
2015-04-30,4788.412,4818.725,4749.485,4749.886,39972744400,612511415165.0,4788.412,4818.725,4749.485,4749.886,39972744400
2015-05-04,4757.637,4795.915,4699.398,4787.741,37784385300,565453373624.0,4757.637,4795.915,4699.398,4787.741,37784385300
2015-05-05,4785.192,4785.192,4572.983,4596.837,46041962600,660020218474.0,4785.192,4785.192,4572.983,4596.837,46041962600
2015-05-06,4626.231,4700.9090000000015,4511.761,4553.327,37607370200,586033987365.0,4626.231,4700.9090000000015,4511.761,4553.327,37607370200
2015-05-07,4520.818,4546.338,4467.459,4470.089,29775920300,427189953161.0,4520.818,4546.338,4467.459,4470.089,29775920300
2015-05-08,4515.554,4559.058,4445.5920000000015,4558.404,30240796700,452090694881.0,4515.554,4559.058,4445.5920000000015,4558.404,30240796700
2015-05-11,4582.0909999999985,4690.9540000000015,4535.149,4690.532,37383842000,583260408778.0,4582.0909999999985,4690.9540000000015,4535.149,4690.532,37383842000
2015-05-12,4692.122,4748.004,4660.016,4747.4209999999985,37705389100,607123299939.0,4692.122,4748.004,4660.016,4747.4209999999985,37705389100
2015-05-13,4746.713,4758.002,4678.845,4718.436,37073042400,590479847838.0,4746.713,4758.002,4678.845,4718.436,37073042400
2015-05-14,4717.955,4735.2840000000015,4670.168,4700.778,33772515200,513219655550.0,4717.955,4735.2840000000015,4670.168,4700.778,33772515200
2015-05-15,4690.755,4690.755,4592.05,4617.47,32843116600,506695010176.0,4690.755,4690.755,4592.05,4617.47,32843116600
2015-05-18,4582.058,4623.383,4565.061,4575.236,26918048900,434083129375.0,4582.058,4623.383,4565.061,4575.236,26918048900
2015-05-19,4577.637,4740.005,4577.637,4731.222,31478595200,524232160128.0,4577.637,4740.005,4577.637,4731.222,31478595200
2015-05-20,4751.572,4843.1,4745.21,4754.919,36318074800,589956272979.0,4751.572,4843.1,4745.21,4754.919,36318074800
2015-05-21,4768.689,4841.615,4746.029,4840.976,30505453700,505346105539.0,4768.689,4841.615,4746.029,4840.976,30505453700
2015-05-22,4895.925,4951.991,4870.598,4951.335,45584671800,719129953200.0,4895.925,4951.991,4870.598,4951.335,45584671800
2015-05-25,4949.11,5099.839,4949.11,5099.495,46573659000,757085825931.0,4949.11,5099.839,4949.11,5099.495,46573659000
2015-05-26,5140.798,5199.295,5063.146,5198.918,48794935900,802295843467.0,5140.798,5199.295,5063.146,5198.918,48794935900
2015-05-27,5216.17,5226.844,5126.861,5181.434,47079873000,777826309129.0,5216.17,5226.844,5126.861,5181.434,47079873000
2015-05-28,5174.101,5213.183,4831.3290000000015,4834.007000000001,57182904700,873207363731.0,5174.101,5213.183,4831.3290000000015,4834.007000000001,57182904700
